route,label,canonical_path,current_directory,current_status,original_inventory,shell,template,purpose,access,project_context,maturity,device,mobile_mode,review_priority,epic,owner_domain,primary_action,desktop_title,desktop_h1,desktop_main_count,desktop_text_chars,desktop_unnamed_interactions,mobile_title,mobile_h1,mobile_main_count,mobile_text_chars,mobile_unnamed_interactions,mobile_small_targets,horizontal_overflow,issue_signals,revalidated_action
/,메인으로 돌아가기,/,yes,retained,yes,browse,editorial-landing,discover,public,none,stable,responsive,full,P1,E02-shells,catalog-discovery,새 작품 시작,툰스튜디오 · 아이디어를 첫 장면으로,그림은 익숙한 도구에서. 제작은 한곳에서.,2,5781,0,툰스튜디오 · 아이디어를 첫 장면으로,그림은 익숙한 도구에서. 제작은 한곳에서.,2,2406,0,28,0,,AppShell을 단일 main 소유자로 정하고 페이지 루트 landmark 중복 제거
/about,서비스 소개 기능과 운영 원칙,/about,yes,retained,yes,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,ToonStudio 서비스 소개 · 웹툰 제작을 잇는 작업실 · 툰스튜디오,"아이디어부터 완성된 웹툰까지, 하나의 작업실에서.",1,6227,1,ToonStudio 서비스 소개 · 웹툰 제작을 잇는 작업실 · 툰스튜디오,"아이디어부터 완성된 웹툰까지, 하나의 작업실에서.",1,2866,1,29,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/about/crawler,공개 데이터 수집 정책 자동수집 원칙·제외·중지 요청,/about/crawler,yes,retained,yes,docs,document,trust,public,none,stable,responsive,full,P3,E11-docs-trust,legal-support,관련 절 찾기,공개 데이터 수집 정책 · 툰스튜디오,공개 데이터를 정직하게 연결합니다,1,5608,0,공개 데이터 수집 정책 · 툰스튜디오,공개 데이터를 정직하게 연결합니다,1,2247,0,28,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/about/data,데이터 출처 공급자별 연결·이용 준비 상태,/about/data,yes,retained,yes,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,데이터 출처·상업 이용 준비 · 툰스튜디오,데이터 출처·상업 이용 준비,1,11234,2,데이터 출처·상업 이용 준비 · 툰스튜디오,데이터 출처·상업 이용 준비,1,7873,2,32,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/about/technology,기술과 신뢰 웹·2D·3D·저장·협업 기술과 신뢰 원칙,/about/technology,yes,retained,yes,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,ToonStudio 기술과 신뢰 · 브라우저 작업실의 구성 · 툰스튜디오,기술은 창작자의 흐름을 방해하지 않을 때 가치가 있습니다.,1,6454,0,ToonStudio 기술과 신뢰 · 브라우저 작업실의 구성 · 툰스튜디오,기술은 창작자의 흐름을 방해하지 않을 때 가치가 있습니다.,1,3093,0,28,0,실패,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/about/workflow,웹툰 제작 과정 기획부터 저장·연재까지 단계별 제작 흐름,/about/workflow,yes,retained,yes,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,웹툰 제작 과정 · 기획부터 저장과 연재까지 · 툰스튜디오,웹툰은 한 번에 그려지지 않습니다.,1,6270,0,웹툰 제작 과정 · 기획부터 저장과 연재까지 · 툰스튜디오,웹툰은 한 번에 그려지지 않습니다.,1,2889,0,28,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/accessibility,접근성 안내 키보드·스크린리더·표시 지원,/accessibility,yes,retained,yes,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,접근성 · 툰스튜디오,누구나 핵심 작업을 끝까지 할 수 있도록.,1,4705,1,접근성 · 툰스튜디오,누구나 핵심 작업을 끝까지 할 수 있도록.,1,1386,1,28,0,오류,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/authors,작가별 보기 작가와 대표 작품 탐색,/authors,yes,retained,yes,browse,collection,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,목록 탐색,작가별 보기 · 툰스튜디오,작가별 보기,1,4768,0,작가별 보기 · 툰스튜디오,작가별 보기,1,1407,0,29,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/calendar,연재 캘린더 요일별 신작과 연재 일정,/calendar,yes,retained,yes,browse,collection,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,목록 탐색,연재 캘린더 · 툰스튜디오,연재 캘린더,1,4787,0,연재 캘린더 · 툰스튜디오,연재 캘린더,1,1426,0,28,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
/collaborate,구인·의뢰 웹툰 팀원 모집·작업 의뢰·작업자 홍보,/collaborate,yes,retained,yes,browse,editorial-landing,connect,public,none,stable,responsive,full,P2,E04-community-collaboration,community,공고 찾기,구인·의뢰 · 웹툰을 함께 완성하는 곳 · 툰스튜디오,"다음 회차, 함께 완성할 사람을 찾으세요.",1,4515,0,구인·의뢰 · 웹툰을 함께 완성하는 곳 · 툰스튜디오,"다음 회차, 함께 완성할 사람을 찾으세요.",1,1196,0,29,0,,기존 목표 설계를 유지하고 해당 Epic 수직 슬라이스에서 구현
