category,component,baseline,maturity,v12_role,vello_relationship,interop,workloads,promotion_gate,fallback,risk,license,source
Vello core,Vello Hybrid / Sparse Strips,0.2.0,초기·API 불안정,Studio Max 기본 2D 장면 허브 후보,직접 주력,"동일 wgpu Device의 외부 Texture, Scene::draw_texture_rects",벡터+이미지+텍스트+레이어+간단 필터 혼합 장면,"CanvasKit 기준 대비 시각 diff 허용치 통과, 해당 workload p95 15% 이상 우위, 8시간 soak",Vello Classic 또는 CanvasKit,"CPU 전처리 비용, 기능 동등성 미완성, API 변경",MIT OR Apache-2.0,https://github.com/linebender/vello/releases
Vello core,Vello Classic,0.9.0,알파,경로 수가 많고 매 프레임 변경되는 벡터 아일랜드,직접 주력,wgpu Texture 직접 출력,선화·컷·효과선·가이드·대량 Path,"10만~100만 Path corpus에서 Hybrid/CanvasKit 대비 우위, 아티팩트 0 blocker",Vello Hybrid / CanvasKit,"conflation 아티팩트, 메모리 전략, 필터 제한",MIT OR Apache-2.0,https://github.com/linebender/vello
Vello core,Vello CPU,0.2.0,광범위 사용 가능·API 불안정,결정적 기준 렌더·썸네일·시각 회귀·GPU 장애 복구,기준 백엔드,CPU pixmap / Worker,"골든 이미지, export preview, headless verification","동일 SceneIR 반복 렌더 hash 안정, CPU 메모리 한도 통과",CanvasKit software / resvg,대형 실시간 장면 처리량,MIT OR Apache-2.0,https://github.com/linebender/vello/releases
Vello core,Vello Sparse Shaders,0.2.0,내부 구현·API 불안정,Hybrid GPU strip raster와 compositing 기반,직접 종속,wgpu shader pipeline,Sparse strip 렌더,브라우저별 shader corpus와 seam/NaN 검사,Classic shaders / CanvasKit,업스트림 변경 빈도,MIT OR Apache-2.0,https://github.com/linebender/vello/releases
Vello ecosystem,Glifo,0.3.0,초기,글리프 아틀라스와 반복 텍스트 캐시,텍스트 자원 가속,Vello Common resources,말풍선·효과음·UI·타임라인 텍스트,CJK 10만 glyph 장면에서 cache hit/메모리/시각 동등성 통과,CanvasKit Paragraph cache,"API 변경, 일부 글리프 형식",MIT OR Apache-2.0,https://github.com/linebender/vello/releases
Geometry,Kurbo,0.13.1,활성·핵심 기반,ToonStudio 공통 2D 기하 언어,Vello native geometry,Rust 공통 메모리,"Bezier, stroke outline, trim, intersection, guides",정밀도 corpus·fuzz·CSP 벡터 편집 동선 통과,Lyon / Bezier.js 보조,복잡 Boolean은 별도 엔진 필요,MIT OR Apache-2.0,https://github.com/linebender/kurbo
Paint,Peniko,0.6.1,활성·Vello 기반,Paint·Gradient·Image·Blend 공통 표현,Vello native paint,Rust 공통 IR adapter,벡터 스타일·그라데이션·이미지 브러시,CanvasKit/PSD blend corpus 색상 동등성,Toon PaintIR,모든 CSP appearance 의미를 직접 포함하지 않음,MIT OR Apache-2.0,https://github.com/linebender/peniko
Color,Linebender Color,0.3.3,활성,광색역·CSS Color 4·ACES/ProPhoto 색 변환,Peniko/Vello 색상 기반,ColorIR bridge,UI 색상·작업 색공간·wide gamut,OCIO/LCMS reference deltaE 허용치 통과,Color.js/Culori + LCMS,인쇄 CMYK는 별도 파이프라인 필요,MIT OR Apache-2.0,https://github.com/linebender/color
Text,Parley,0.11.0,활성,다국어 문단·말풍선·줄바꿈·편집 레이아웃,Vello glyph layout source,TextIR → glyph runs,"CJK 대사, 번역, irregular balloon flow",CSP/브라우저 기준 line break·IME·대형 문단 검증,CanvasKit Paragraph / HarfBuzz,세로쓰기·루비 일부 확장 필요,MIT OR Apache-2.0,https://github.com/linebender/parley/releases
Text,Fontique + HarfRust + Skrifa + ICU4X,Parley pinned set,활성,폰트 탐색·shaping·outline·언어 분절,Parley/Glifo 하위 기반,Rust 공통 메모리,한중일·아랍어·이모지·변수 폰트,문자권별 golden corpus·font fallback·vertical extension 검사,HarfBuzz WASM,폰트 플랫폼 차이,각 프로젝트 고지,https://github.com/linebender/parley
UI,Xilem,0.4.0,알파,Canvas-native 고주파 UI의 선언형 diff 실험,Vello 기반 UI island,xilem_core/Masonry event bridge,펜 디스플레이 HUD·타임라인·브러시 커서,React DOM 대비 input latency·accessibility·IME 동률 이상,React 19 + Vello overlay,"웹/접근성/IME 완성도, breaking changes",MIT OR Apache-2.0,https://github.com/linebender/xilem/releases
UI,Masonry,Xilem 0.4.0 계열,알파,retained widget tree·명시적 invalidation·테스트 구조,Vello UI render 기반,CanvasWidgetIR,선택 핸들·패널 dock preview·light table controls,event replay·dirty repaint·AccessKit gate,React Aria/Radix,브라우저 DOM 통합 비용,MIT OR Apache-2.0,https://github.com/linebender/xilem
SVG,vello_svg,0.10.0,대화형 SVG용,편집 중 SVG를 Vello Scene Fragment로 변환,직접 장면 편입,usvg → Vello Scene,장식·말풍선·브러시 팁·아이콘,지원 feature scanner + resvg visual diff,resvg/ThorVG,완전 SVG 정확성 목표가 아님,MIT OR Apache-2.0,https://github.com/linebender/vello_svg
Animation,Velato,Vello 0.9 호환 계열,부분 Lottie 지원,Lottie를 Vello 장면으로 편입,직접 장면 편입,Lottie → Vello scene fragment,UI·효과음·컷 전환·애니메이션 팁,Lottie feature scanner와 ThorVG/Skottie 비교,ThorVG / CanvasKit Skottie,텍스트·이미지·고급 effect 일부 미지원,MIT OR Apache-2.0,https://github.com/linebender/velato
Interactive stage,bevy_vello,0.13.1 / Vello 0.7 계열,커뮤니티 통합,선택형 2D·3D 인터랙티브 Stage 연구,Vello scene in Bevy,별도 feature island,모캡 미리보기·발표·게임형 웹툰,Vello 0.9/Hybrid port와 WebGPU browser gate,Three.js + Vello overlay,"Vello 버전 지연, web compute 제한",MIT OR Apache-2.0,https://github.com/vectorgameexperts/bevy_vello
