id,epic,priority,title,status,evidence,remaining,original_dependencies,owner,estimate
E00-01,E00-route-stability,P0,Route readiness detector,partial,"PR #1528 added RouteStage meaningful-content detection, stalled recovery and route health tests.",Readiness must be route-owned; generic links/text must not satisfy ready state. Add visible content and one-main checks.,none,route-foundation,M
E00-02,E00-route-stability,P0,Market browse recovery,partial,"Current main renders /market/browse with a titled API-error state, retry and Studio fallback instead of a blank page.",Reverify direct deep links on the deployed host and cached/success states before closing.,E00-01,market,M
E00-03,E00-route-stability,P0,Publishing canonical repair,partial,Aliases are centralized and /publishing is excluded from the current directory in favor of /studio/publish.,Add deployed deep-link readiness and explicit alias expiry/removal criteria.,E01-03,creator-project,S
E00-04,E00-route-stability,P0,BG3D startup recovery,planned,No completion evidence was established in this main-branch revalidation.,Ready/degraded/blocked states; document runtime retained,E02-05,creator-3d,L
E00-05,E00-route-stability,P0,Sculpt isolation,planned,No completion evidence was established in this main-branch revalidation.,"Surface failure does not unmount document, undo or collaboration",E02-05,creator-3d,L
E00-06,E00-route-stability,P0,Reviews mobile repair,partial,Local main desktop/mobile smoke no longer reproduces the /reviews page error.,"Keep mobile data-success, empty and provider-failure regression coverage.",E02-01,community,M
E00-07,E00-route-stability,P1,Long loading recovery,partial,"RouteFallback now explains delayed and offline loading, and RouteStage adds delayed recovery controls.","Audio and poser still need route-specific progress, capability cause and supported fallback states.",E02-02,creator-editor,M
E01-01,E01-route-registry,P1,Route registry schema,partial,"site-route-metadata.ts provides typed product, purpose, maturity, access, device and project-context metadata.","Replace prefix heuristics with complete route records including id, title keys, shell, template, mobile mode and ownership.",none,route-foundation,M
E01-02,E01-route-registry,P1,Metadata migration,partial,"Titles, sitemap search and history consume canonical metadata in part.","Route groups, titles, navigation, public policy and SitemapPage arrays remain separate authorities.",E01-01,route-foundation,L
E01-03,E01-route-registry,P1,Canonical aliases,implemented,SITE_ROUTE_ALIASES centralizes historical URLs and the directory emits canonical targets only.,Keep alias audits and define later removal dates; no architecture redesign remains.,E01-01,route-foundation,M
E01-04,E01-route-registry,P1,Sitemap registry consumer,partial,"The sitemap supports product, purpose, maturity, access, device, favorites and URL-backed filtering.","It still assembles entries manually and omits current primary Studio destinations such as /production, /studio/new and /studio/assets.",E01-02,legal-support,M
E01-05,E01-route-registry,P2,History and favorites normalization,implemented,Recent visits and favorites are stored as canonical paths and aliases are normalized locally.,Migrate to stable route ids only when the complete registry exists.,E01-03,route-foundation,S
E01-06,E01-route-registry,P1,Registry integrity CI,partial,"Sitemap, title ownership and route-health contracts exist and 78 focused tests pass on current main.","Tests omit production.routes.tsx, do not compare all authorities and do not reject nested main landmarks.",E01-02,qa,M
E02-01,E02-shells,P1,RouteFrame,partial,"RouteStage supplies semantic fallback headings, delayed recovery and title-aware loading.",Hidden fallback H1 is currently accepted as page identity and the frame does not own a typed route readiness state.,E01-01,route-foundation,M
E02-02,E02-shells,P1,Shared async states,partial,A common loading fallback and stalled-route recovery are present.,"Loading, stale, empty, offline, blocked and domain-error states are not yet one typed component contract.",E02-01,design-system,M
E02-03,E02-shells,P1,BrowseShell,planned,No completion evidence was established in this main-branch revalidation.,First content appears in first mobile viewport on collection pages,E01-02;E02-01,public-experience,L
E02-04,E02-shells,P1,DocsShell,partial,"Policy pages gained summaries, table of contents, anchors, effective dates, versions and print support in PR #1528.",There is still no independent DocsShell boundary or shared mobile document navigation.,E01-02;E02-01,legal-support,M
E02-05,E02-shells,P1,Access and capability states,planned,No completion evidence was established in this main-branch revalidation.,Value preview and safe return path for every gate,E02-02,design-system,M
E02-06,E02-shells,P2,PageHeader and ContextBar,planned,No completion evidence was established in this main-branch revalidation.,One primary action; context collapses accessibly on mobile,E02-03;E02-04,design-system,M
E02-07,E02-shells,P2,Remove automatic generic journey blocks,planned,AppShell still injects SiteCreationCompass and generic next-step blocks across broad public route groups.,Move next actions to route/page declarations and remove unrelated repeated marketing journeys.,E02-03,public-experience,M
E03-01,E03-discovery-data,P1,Shared query/filter contract,partial,The directory and tags experience use URL-backed query state; some route filters preserve history.,"Search, explore, recommend and collection pages do not yet share one typed URL-state codec.",E01-01;E02-03,catalog-discovery,L
E03-02,E03-discovery-data,P1,Tags progressive discovery,partial,PR #1528 bounded tag rendering and added search/sort; the previous thousands of initial mobile targets no longer reproduce.,"Complete cluster, related-tag and keyboard traversal acceptance before closing.",E03-01,catalog-discovery,L
E03-03,E03-discovery-data,P1,Ranking density and semantics,partial,Ranking controls now expose accessible states and unnamed controls no longer reproduce in the local main audit.,"Mobile density remains high and the complete card/table, virtualization and trust-evidence target is unfinished.",E03-01,catalog-discovery,L
E03-04,E03-discovery-data,P1,Unified search tabs,planned,No completion evidence was established in this main-branch revalidation.,URL-shareable tabs and filters; saved search works,E03-01,catalog-discovery,L
