ID,영역,주 엔진/라이브러리,고유 장점,최적 담당,권장 하이브리드 조합,자체 구현 정책,주요 위험,성숙도/판정,라이선스,검증 게이트,공식 출처
E01,범용 2D·필터·텍스트·출력,Skia / CanvasKit,"Path, Canvas, Paint, Paragraph, ImageFilter, RuntimeEffect, Skottie를 하나의 성숙한 그래픽 코어에서 제공한다. 일반 레이어 합성·마스크·텍스트·기준 출력의 안전한 기준선이다.","기본 페인팅 Surface, 일반 래스터 브러시, 텍스트, 마스크, 혼합, 실시간 필터, 기준 출력",Vello 벡터 아일랜드·Google Ink 메시·libmypaint 타일을 이미지/텍스처로 받아 최종 합성한다. OpenCV의 마스크와 libvips의 최종 결과도 연결한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,WASM 번들·객체 수명·독립 GPU context 비용을 관리해야 한다.,생산 기준선,BSD 계열,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://skia.org/docs/user/modules/canvaskit/
E02,대량 동적 벡터,Vello Classic,Rust/wgpu 기반 GPU compute 중심 렌더러로 복잡한 path가 많고 자주 바뀌는 장면의 처리 상한이 높다. Kurbo·Peniko와 직접 결합된다.,"선화, 컷, 말풍선, 효과선, 가이드, 선택 오버레이, 대규모 벡터 장면","Parley가 만든 glyph run, Kurbo path, Peniko paint를 렌더하고, 래스터·자연매체·3D 결과는 이미지/texture island로 합성한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,공식 저장소가 알파 상태를 명시한다. 메모리·필터·글리프 캐시를 자체 게이트로 검증한다.,조건부 가속기,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/vello
E03,CPU path 준비 + GPU 래스터·합성,Vello Hybrid,경로 준비와 GPU 렌더링의 역할을 나누고 이미지 atlas·texture binding과 결합할 수 있어 일반 편집 장면의 균형형 후보다.,"이미지·텍스트·벡터가 혼합된 장면, 저전력 벡터 편집, texture island 합성","Classic과 문서별 벤치마크로 선택하고, 미지원 마스크·복합 필터 구간은 CanvasKit 또는 EffectProvider 결과를 재주입한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,현재 API와 기능 동등성이 계속 변한다. 마스크·필터 지원을 capability probe로 확인한다.,조건부 가속기,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://docs.rs/vello_hybrid/latest/vello_hybrid/
E04,결정적 벡터 기준·복구,Vello CPU,"GPU와 분리된 CPU 기준 결과를 제공해 시각 회귀, 썸네일, 장애 복구, 서버 렌더에 활용할 수 있다.","cross-renderer diff, golden image, GPU 장애 복구, 백그라운드 export",CanvasKit Software·resvg·tiny-skia와 교차 기준을 구성한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,대형 실시간 장면에서는 GPU보다 느릴 수 있다.,필수 기준선,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/vello
E05,2D 곡선·경로 기하,Kurbo,Rust 기반 Bézier curve와 vector path 구조·연산을 제공하고 Vello 생태계와 자연스럽게 연결된다.,"중심선, outline 후처리, arc-length, path split, guide, balloon tail, ribbon bake",Google Ink/Perfect Freehand의 결과를 편집 가능한 PathIR로 정리하고 Vello/CanvasKit에 전달한다. Boolean은 Skia PathOps·Clipper2 같은 보완 엔진과 결합한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,모든 강건 boolean 연산을 단독으로 해결한다고 가정하지 않는다.,핵심 기하 계층,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/kurbo
E06,Paint·Gradient·Image·Blend·색,Peniko + Linebender Color,Vello 계열에서 색·그라데이션·이미지·혼합 표현을 공통 언어로 사용할 수 있다.,"PaintIR, gradient, image brush, blend mapping, wide-gamut UI 연결",CanvasKit/Skia 색 모델과 ColorIR을 매핑하고 cross-renderer 색상 차이를 자동 검사한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,엔진별 alpha·gamma·색공간 차이를 명시적으로 보정해야 한다.,핵심 스타일 계층,MIT / Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/vello
E07,전문 텍스트 레이아웃,Parley + Fontique + HarfRust + Skrifa + ICU4X,"shaping, line breaking, bidi, selection/editing을 Rust 계층에서 조합하며 복잡한 다국어 문단을 다룬다.","한중일 말풍선, 문단, 효과음, 세로쓰기 기반, 번역 재배치, 텍스트 편집",Parley 레이아웃을 Vello/Glifo로 실시간 렌더하고 CanvasKit Paragraph를 기준선·폴백으로 사용한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,CJK 세로쓰기·금칙·루비는 제품 전용 확장이 필요할 수 있다.,조건부 핵심,permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/parley
E08,글리프 캐시·렌더 자원,Glifo,반복 glyph outline/image/hint 캐시로 텍스트가 많은 캔버스의 렌더 비용을 낮출 수 있다.,말풍선·자막·페이지·협업 UI의 glyph atlas,Parley의 glyph run을 Vello에 전달하고 CanvasKit Paragraph와 결과를 비교한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,실험적이므로 GlyphCacheAdapter 뒤에서 교체 가능하게 둔다.,실험적 보조,permissive,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/linebender/vello
E09,전문 자유곡선 잉킹,Google Ink,원시 입력을 모델링하고 brush effect를 적용해 mesh 기반 vector stroke를 생성한다. pressure·tilt·speed 등 풍부한 동역학에 적합하다.,"G펜, 매핑펜, 붓펜, 캘리그래피, 마커, 손가락 필기, 부분 획 편집","입력·BrushBehavior·mesh는 Google Ink, 중심선/선택은 Kurbo·Vello, 최종 기준 출력은 CanvasKit으로 조합한다.",우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,공식 웹 SDK가 아니며 API 안정성을 강하게 보장하지 않는다. 고정 commit·WASM 포팅이 필요하다.,PoC 후 주력 후보,Apache-2.0,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/google/ink
E10,경량 잉킹·테셀레이션,Perfect Freehand + Lyon,"Perfect Freehand는 압력 기반 outline 생성이 간단하고, Lyon은 Rust path tessellation에 강하다.","Google Ink 폴백, 기술 펜, 경량 vector stroke, deterministic export geometry",자체 stabilizer·Kurbo fitting·Vello/CanvasKit 렌더와 결합한다.,우선 재사용·확장. 품질/지연/비파괴 의미/상호운용 공백이 벤치마크로 확인되면 선택적 자체 구현 또는 fork 허용.,자연매체·복합 브러시 전체를 대신하지는 않는다.,안정 폴백,MIT / Apache 계열,"golden image, p50/p95/p99, peak memory, 4h/24h soak, provider fallback, license scan",https://github.com/steveruizok/perfect-freehand
