sourceId	name	category
canary_wharf	유리 고층 건물 도심 업무 지구	background-street
hansaplatz	유럽풍 건물과 도시 광장	background-street
urban_street_01	주택가 골목 거리	background-street
urban_street_03	도심 건물 사이 골목	background-street
crosswalk	도시 도로와 횡단보도	background-street
modern_buildings_night	현대식 건물과 야간 거리	background-street
venetian_crossroads	수로 도시 골목 교차로	background-street
courtyard_night	건물 중정 야경	background-street
comfy_cafe	아늑한 카페 실내	background-interior
decor_shop	소품과 가구 인테리어 매장	background-interior
machine_shop_02	기계 정비 작업장	background-interior
carpentry_shop_02	목공 작업실	background-interior
freight_station	화물역 플랫폼	background-street
dresden_station_night	기차역 야간 플랫폼	background-street
hamburg_hbf	기차역 역사와 플랫폼	background-interior
subway_entrance	지하철역 출입구	background-street
hotel_room	호텔 객실 침실	background-interior
wooden_lounge	원목 가구 라운지	background-interior
ballroom	클래식 연회장 무도회장	background-interior
large_corridor	건물의 긴 복도	background-interior
photo_studio_loft_hall	넓은 로프트 스튜디오 홀	background-interior
winter_lake_01	눈 덮인 겨울 호수	background-nature
winter_evening	겨울 저녁 눈 덮인 마을	background-street
misty_pines	안개 낀 소나무 숲	background-nature
mossy_forest	이끼가 있는 울창한 숲	background-nature
river_walk_1	강변 산책로	background-nature
tiergarten	가로수와 녹음이 있는 공원	background-nature
pond_bridge_night	연못 다리 야경	background-nature
shanghai_riverside	도시 강변 스카이라인	background-street
small_harbor_01	작은 항구와 선착장	background-street
venice_sunset	수변 도시의 노을	background-street
leadenhall_market	지붕 있는 시장 아케이드	background-interior
mosaic_tunnel	타일 벽 터널 통로	background-interior
derelict_overpass	낡은 고가도로 아래	background-street
rural_winter_roadside	겨울 시골 길가	background-nature
royal_esplanade	호텔 실내 로비	background-interior
