authority,id,pattern,route_kind,shell_or_kind,resource,title_ko,title_en,aliases,runtime_identity,current_role,revalidation_action
studio-product-registry,home,/studio,static,studio,none,내 작업,My work,/creator-hub,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,new,/studio/new,static,studio,none,새로 만들기,Create new,/make,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,import,/studio/import,static,studio,none,가져오기,Import,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,templates,/studio/templates,static,studio,none,템플릿,Templates,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,assets,/studio/assets,static,asset,none,에셋,Assets,/market/library,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,toolchain,/studio/toolchain,static,studio,none,제작 도구,Production tools,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,engines,/studio/engines,static,studio,none,설치·라이선스,Engines & licenses,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,jobs,/studio/jobs,static,studio,none,처리 중 작업,Production jobs,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,immersive,/studio/immersive,static,studio,none,공간 제작,Immersive creation,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,recovery,/studio/recovery,static,studio,none,복구,Recovery,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,trash,/studio/trash,static,studio,none,휴지통,Trash,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,asset-brushes,/studio/assets/brushes,static,asset,asset,브러시 선택,Choose brushes,/studio/brushes,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,asset-brush-new,/studio/assets/brushes/new,static,asset,asset,새 브러시 만들기,Create brush,/brush-lab | /studio/brush-lab,assetId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,asset-brush-edit,/studio/assets/brushes/:brushId/edit,family,asset,asset,브러시 설정,Brush settings,,assetId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,asset-character-new,/studio/assets/characters/new,static,asset,asset,새 캐릭터 만들기,Create character,/shaper,assetId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,asset-audio,/studio/assets/audio,static,asset,asset,오디오 에셋,Audio assets,/music,assetId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,asset-3d,/studio/assets/3d,static,asset,asset,3D 에셋,3D assets,,assetId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-root,/studio/p/:projectId,family,project,project,프로젝트,Project,,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-overview,/studio/p/:projectId/overview,family,project,project,개요,Overview,,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-story,/studio/p/:projectId/story,family,project,project,스토리,Story,/story-lab | /studio/storyworld,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-production,/studio/p/:projectId/production,family,project,project,제작,Production,,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-assets,/studio/p/:projectId/assets,family,project,project,에셋,Assets,,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-review,/studio/p/:projectId/review,family,project,project,검토,Review,,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-export,/studio/p/:projectId/export,family,project,project,내보내기,Export,/publishing,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-settings,/studio/p/:projectId/settings,family,project,project,프로젝트 설정,Project settings,,projectId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,project-document,/studio/p/:projectId/d/:documentId,family,editor,document,문서 편집,Edit document,,documentId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,draft-document,/studio/draft/:draftId,family,editor,draft,임시 작업,Draft,,draftId,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,manual,/studio/manual,static,reference,none,공식 가이드,Official guide,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-product-registry,manual-article,/studio/manual/:articleId,family,reference,article,가이드,Guide,,,Studio product IA and canonical helper,Project into the site registry through an adapter; do not duplicate path grammar.
studio-runtime-manifest,studio-editor,/studio/(work/:workId|remix/:sourceWorkId)?/:surface(canvas|comic|animation|brushes|bg3d|poser|character)?,family,editor,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-composition,/studio/compose/:sessionId,family,composition,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-work-composition,/studio/work/:workId/compose/:sessionId,family,composition,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-remix-composition,/studio/remix/:sourceWorkId/compose/:sessionId,family,composition,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-publish,/studio/(work/:workId/)?publish,family,publish,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-lift3d,/studio/lift3d,static,lift3d,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-storyworld,/studio/(work/:workId|remix/:sourceWorkId)?/storyworld,family,storyworld,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-companion,/studio/companion/:surface,family,companion,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-production,/studio/(join|present|projects|review|share|versions),family,production,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
studio-runtime-manifest,studio-work-production,/studio/work/:workId/:surface(present|review|versions),family,production,,,,,owns document title,Active Studio resolver and lifecycle authority,Keep as runtime authority; expose metadata through a typed projection.
