id,epic,priority,title,scope,dependencies,owner,estimate,feature_flag,acceptance,rollout
E00-01,E00-route-stability,P0,Route readiness detector,"Detect HTTP 200 blank/stalled routes and render recovery","none",route-foundation,M,site_route_frame_v2,"108-route smoke fails on blank content; recovery has retry, directory and home","internal then 5%"
E00-02,E00-route-stability,P0,Market browse recovery,"Fix /market/browse blank render and add cached/error states","E00-01",market,M,market_experience_v2,"Shell and recovery remain for API failure, empty catalogue and success","route only"
E00-03,E00-route-stability,P0,Publishing canonical repair,"Retire /publishing internal links and validate /studio/publish readiness","E01-03",creator-project,S,studio_project_context_v2,"One redirect, no blank screen, project missing and error states tested","route only"
E00-04,E00-route-stability,P0,BG3D startup recovery,"Add WebGL capability check, timeout, sample and safe mode","E02-05",creator-3d,L,studio_capability_gate_v2,"Ready/degraded/blocked states; document runtime retained","route cohort"
E00-05,E00-route-stability,P0,Sculpt isolation,"Contain lazy/GPU/resource failure and provide low-detail safe mode","E02-05",creator-3d,L,studio_capability_gate_v2,"Surface failure does not unmount document, undo or collaboration","route cohort"
E00-06,E00-route-stability,P0,Reviews mobile repair,"Fix mobile page error and failed request rendering","E02-01",community,M,browse_shell_v2,"390x844 success, empty and API failure tests pass","route only"
E00-07,E00-route-stability,P1,Long loading recovery,"Add explicit timeout and retry to audio and poser","E02-02",creator-editor,M,site_route_frame_v2,"No indefinite skeleton; reason, retry and fallback shown","two routes"
E01-01,E01-route-registry,P1,Route registry schema,"Add typed route contract without changing route loading","none",route-foundation,M,site_route_registry_v2,"Unique ids, paths, canonical, access and mobile policy validated","internal"
E01-02,E01-route-registry,P1,Metadata migration,"Move titles, directory labels and route policy into registry","E01-01",route-foundation,L,site_route_registry_v2,"All canonical user routes represented; no orphan metadata","internal"
E01-03,E01-route-registry,P1,Canonical aliases,"Centralize aliases and replace internal alias links","E01-01",route-foundation,M,site_route_registry_v2,"No alias in sitemap, command palette or internal link audit","internal then all"
E01-04,E01-route-registry,P1,Sitemap registry consumer,"Generate directory filters and badges from registry","E01-02",legal-support,M,site_route_registry_v2,"Product, purpose, status, access and device filters work","route only"
E01-05,E01-route-registry,P2,History and favorites normalization,"Store route id/canonical rather than raw alias URLs","E01-03",route-foundation,S,site_route_registry_v2,"Old aliases migrate and no sensitive query is stored","all users"
E01-06,E01-route-registry,P1,Registry integrity CI,"Compare registry, route groups, titles, directory and smoke list","E01-02",qa,M,site_route_registry_v2,"CI blocks duplicate, missing and orphan routes","CI only"
E02-01,E02-shells,P1,RouteFrame,"Own title, H1, focus, error boundary and stalled route recovery","E01-01",route-foundation,M,site_route_frame_v2,"One H1, meaningful-content contract and accessible recovery","pilot routes"
E02-02,E02-shells,P1,Shared async states,"Loading, stale, empty, offline and error components","E02-01",design-system,M,site_route_frame_v2,"All states support actions, live regions and preserved data copy","pilot routes"
E02-03,E02-shells,P1,BrowseShell,"Compact public shell with context line and mobile tabs","E01-02;E02-01",public-experience,L,browse_shell_v2,"First content appears in first mobile viewport on collection pages","selected routes"
E02-04,E02-shells,P1,DocsShell,"Reading-width layout, TOC, updated date and change history","E01-02;E02-01",legal-support,M,docs_shell_v2,"Keyboard TOC, deep links, print and mobile sheet pass","selected docs"
E02-05,E02-shells,P1,Access and capability states,"Sign-in, project, role and device capability gates","E02-02",design-system,M,site_route_frame_v2,"Value preview and safe return path for every gate","pilot routes"
E02-06,E02-shells,P2,PageHeader and ContextBar,"Standardize H1, primary action, badges and compact route context","E02-03;E02-04",design-system,M,browse_shell_v2,"One primary action; context collapses accessibly on mobile","selected routes"
E02-07,E02-shells,P2,Remove automatic generic journey blocks,"Pages declare contextual next actions rather than global injection","E02-03",public-experience,M,browse_shell_v2,"No unrelated repeated marketing block on collection/docs pages","page groups"
E03-01,E03-discovery-data,P1,Shared query/filter contract,"URL serialization, saved search and mobile filter sheet","E01-01;E02-03",catalog-discovery,L,site_collection_filters_v2,"Back/forward restores filters, sort and scroll; no query data leak","search pilot"
E03-02,E03-discovery-data,P1,Tags progressive discovery,"Replace thousands of rendered tags with search, clusters and virtualization","E03-01",catalog-discovery,L,site_collection_filters_v2,"Initial DOM bounded; keyboard and mobile targets pass","route only"
E03-03,E03-discovery-data,P1,Ranking density and semantics,"Split card/table modes, label controls and virtualize rows/images","E03-01",catalog-discovery,L,site_collection_filters_v2,"No unnamed controls; trust and update metadata visible","route only"
E03-04,E03-discovery-data,P1,Unified search tabs,"Stories, creators, tags and references with distinct empty/error states","E03-01",catalog-discovery,L,site_collection_filters_v2,"URL-shareable tabs and filters; saved search works","route cohort"
E03-05,E03-discovery-data,P1,Explore progressive disclosure,"Show basic taste controls first and advanced filters on demand","E03-01",catalog-discovery,M,site_collection_filters_v2,"Applied conditions and live result count remain visible","route only"
E03-06,E03-discovery-data,P1,Recommendation feedback,"Explain recommendation and support dislike/already-seen/diversity","E03-01",catalog-discovery,M,site_collection_filters_v2,"Feedback changes next batch without exposing sensitive profile data","route only"
E03-07,E03-discovery-data,P2,Calendar and news collection patterns,"Standardize list, filters, freshness, alerts and source metadata","E02-03;E03-01",catalog-discovery,M,browse_shell_v2,"Mobile density and empty/error states pass","route cohort"
E03-08,E03-discovery-data,P2,Spatial reader fallback,"Flat/spatial toggle, reduced motion and low-capability fallback","E02-05",catalog-discovery,L,browse_shell_v2,"Sample opens; user can always return to flat reading","route only"
E04-01,E04-community-collaboration,P1,Community information architecture,"Separate following feed, discussions, cafes and promotion","E02-03",community,L,browse_shell_v2,"Primary posting action and feed scope are unambiguous","route cohort"
E04-02,E04-community-collaboration,P1,Genre cafes,"Correct page identity and add activity, membership, search and create flows","E04-01",community,M,browse_shell_v2,"H1 and navigation identify cafes; touch targets pass","route only"
E04-03,E04-community-collaboration,P2,Collaboration listing,"Role, budget, schedule, remote and trust filters","E02-03;E03-01",community,L,browse_shell_v2,"Saved search and safe collaboration guidance work","route only"
E04-04,E04-community-collaboration,P2,Collaboration post workflow,"Draft-preserving stepper for role, rights, schedule and budget","E02-02;E02-05",community,L,browse_shell_v2,"Sign-in round-trip restores draft; validation summary links fields","route only"
E04-05,E04-community-collaboration,P2,Showcase discovery,"Move work grid earlier and expose type, tools and process","E02-03",community,M,browse_shell_v2,"Works discoverable without crossing full marketing hero","route cohort"
E04-06,E04-community-collaboration,P2,Promotion studio workflow,"Unify CreatorShell chrome and name all icon controls","E02-06;E09-01",community,L,creator_shell_v2,"Stepper, fixed preview, output presets and accessibility pass","route only"
E05-01,E05-learning-research,P1,Learning paths,"Skill paths, continue learning, time, prerequisites and outputs","E02-03",creator-resources,L,browse_shell_v2,"A course opens matching Studio practice with progress retention","route cohort"
E05-02,E05-learning-research,P1,Glossary redesign,"Search, categories, visual examples and related lessons/tools","E03-01",creator-resources,M,browse_shell_v2,"Mobile touch density and deep-link terms pass","route only"
E05-03,E05-learning-research,P2,Research four-step flow,"Question, source, evidence and scene application","E02-03",creator-resources,L,browse_shell_v2,"Project optional flow and evidence provenance retained","route cohort"
E05-04,E05-learning-research,P2,Research notebook,"Source-note split view, citation, tags, backlinks and scene cards","E05-03",creator-resources,L,browse_shell_v2,"Saved notes preserve source and license metadata","route only"
E05-05,E05-learning-research,P2,Opportunity metadata,"Deadline, eligibility, source, reward and calendar reminders","E02-03",creator-resources,M,browse_shell_v2,"Official source and last checked date always visible","route only"
E06-01,E06-market,P1,Market browse shell,"Search, rights, compatibility and resilient cached catalogue","E00-02;E03-01",market,L,market_experience_v2,"Blank route eliminated and install journey begins from result card","route cohort"
E06-02,E06-market,P1,Asset compare and fit,"Shared comparison criteria and project-aware fit evidence","E06-01;E02-05",market,L,market_experience_v2,"Difference-only, share and automatic-fix suggestions work","route cohort"
E06-03,E06-market,P2,Account asset library,"Installed, update, incompatible and archived states with batch actions","E06-01;E02-05",market,L,market_experience_v2,"Install/update/remove receipts and recovery states tested","signed-in cohort"
E06-04,E06-market,P2,Seller dashboard,"Draft, review, published, rejected and update-required lifecycle","E06-01;E02-05",market,L,market_experience_v2,"Status and next action visible; no generic empty panel","signed-in cohort"
E06-05,E06-market,P2,Asset publishing stepper,"Metadata, file, compatibility, rights, price, preview and submit","E02-02;E06-01",market,L,market_experience_v2,"Manifest validation and field-linked error summary pass","signed-in cohort"
E07-01,E07-personal-settings,P1,My-space action dashboard,"Recent work, reviews, recovery and updates as today's tasks","E02-03;E02-05",account-personal,L,browse_shell_v2,"Cards show thumbnail, role, sync and next action","signed-in cohort"
E07-02,E07-personal-settings,P2,Profile/account consolidation,"Reduce /me to profile/account and plan /my/profile migration","E01-03;E07-01",account-personal,M,browse_shell_v2,"No duplicate personal dashboard; return paths preserved","signed-in cohort"
E07-03,E07-personal-settings,P1,Settings navigation,"Searchable categories, preview, undo, reset and danger zone","E02-03",account-personal,L,browse_shell_v2,"Settings can be found by task and reverted without reload","route cohort"
E07-04,E07-personal-settings,P1,Unified AI settings,"Provider, vault, capability, cost, priority and fallback authority","E02-05;E07-03",account-personal,L,browse_shell_v2,"Studio view consumes same stored configuration; keys never exposed","signed-in cohort"
E08-01,E08-creator-project,P1,Creator project ContextBar,"Shared project, document, role and save state across companion pages","E01-01;E02-06",creator-project,M,studio_project_context_v2,"Context consistent and mobile collapse accessible","selected routes"
E08-02,E08-creator-project,P1,Project hub,"Thumbnails, search, roles, sync, deadlines and next actions","E08-01;E02-05",creator-project,L,studio_project_context_v2,"Local, shared, recovery and empty project states pass","route cohort"
E08-03,E08-creator-project,P1,Review workflow,"Anchored comments, owner, status, compare, approve and request changes","E08-01;E08-02",creator-project,L,studio_project_context_v2,"Comments survive navigation and status changes are auditable","project cohort"
E08-04,E08-creator-project,P1,Share permissions,"Per-person roles, link expiry, password and access log","E08-01;E02-05",creator-project,L,studio_project_context_v2,"Permission changes enforced server-side and recoverable","project cohort"
E08-05,E08-creator-project,P1,Version and recovery timeline,"Local/server distinction, compare, label and safe restore","E08-01;E02-02",creator-project,L,studio_project_context_v2,"Restore creates checkpoint and never overwrites silently","project cohort"
E08-06,E08-creator-project,P1,Publish command center,"Readiness score, missing items, preview, schedule and reader policy","E00-03;E08-01",creator-project,L,studio_project_context_v2,"Direct and alias entry, missing project and error states pass","project cohort"
E08-07,E08-creator-project,P2,Present and join flows,"Presentation controls and invitation identity, role and expiry","E08-01;E02-05",creator-project,M,studio_project_context_v2,"H1 present; valid, invalid, expired and denied invitations tested","project cohort"
E09-01,E09-creator-editor,P1,CreatorShell chrome,"Back, document, save, presence, share, export and status bar","E08-01",creator-editor,L,creator_shell_v2,"Global marketing chrome absent; document runtime unchanged","surface cohort"
E09-02,E09-creator-editor,P1,Mobile creator modes,"Full, review, preview and unsupported surfaces by registry","E01-01;E09-01",creator-editor,L,creator_shell_v2,"No desktop toolbar scaled down; continue-on-desktop path works","surface cohort"
E09-03,E09-creator-editor,P2,Panel docking and pop-out,"Drag, resize, dock, external window and default restore","E09-01",creator-editor,XL,creator_shell_v2,"Keyboard alternative, persistence and canvas occlusion tests pass","surface cohort"
E09-04,E09-creator-editor,P1,Editor control semantics,"Accessible names, shortcuts, focus order and tooltip layer","E09-01",creator-editor,L,creator_shell_v2,"No unnamed critical tools; keyboard surface navigation works","surface cohort"
E09-05,E09-creator-editor,P2,First-success samples,"Starter canvas, animation, character, pose and DCC objects","E09-01;E02-02",creator-editor,L,creator_shell_v2,"Every empty editor offers a working sample and clear reset","surface cohort"
E10-01,E10-ai-3d-runtime,P0,Capability gate runtime,"Unified ready, degraded, blocked and checking contract","E02-05",creator-runtime,L,studio_capability_gate_v2,"GPU, isolation, model and local engine combinations tested","internal then routes"
E10-02,E10-ai-3d-runtime,P1,Production job contract,"Job id, progress, cancel, retry, receipt and route-independent tracking","E02-02;E10-01",creator-runtime,L,studio_capability_gate_v2,"Jobs survive navigation and failures expose actionable cause","route cohort"
E10-03,E10-ai-3d-runtime,P1,AI connection authority,"Unify provider, local runtime, model readiness and connection tests","E07-04;E10-01",creator-runtime,L,studio_capability_gate_v2,"Studio AI views read one configuration authority and never expose keys","signed-in cohort"
E10-04,E10-ai-3d-runtime,P2,Generation workflow contract,"Shared input, rights, estimate, job, result and apply stages","E10-02;E10-03",creator-runtime,XL,studio_capability_gate_v2,"Lift3D, character conversion and generation use one receipt model","route cohort"
E10-05,E10-ai-3d-runtime,P1,3D safe-mode profiles,"Low-detail, low-texture and preview-only recovery profiles","E10-01;E00-04;E00-05",creator-3d,L,studio_capability_gate_v2,"Blocked hardware always offers a truthful supported alternative","surface cohort"
E10-06,E10-ai-3d-runtime,P2,Runtime diagnostics,"User-safe logs, correlation id and copyable environment summary","E10-01;E10-02",creator-runtime,M,studio_capability_gate_v2,"No prompt, artwork, key or sensitive path appears in diagnostics","route cohort"
E11-01,E11-docs-trust,P1,Support and feedback separation,"Personal troubleshooting versus public proposal lifecycle","E02-04;E02-05",legal-support,M,docs_shell_v2,"Support H1, channels and privacy boundaries differ from feedback board","route cohort"
E11-02,E11-docs-trust,P1,DocsShell migration,"Move policy, help, accessibility and trust pages to reading shell","E02-04;E02-06",legal-support,L,docs_shell_v2,"TOC, summary, update date, deep links and mobile sheet pass","docs cohort"
E11-03,E11-docs-trust,P2,Data source status table,"Provider, license, commercial use, freshness, connection and failure impact","E11-02",legal-support,M,docs_shell_v2,"Every provider row exposes source and last verified date","route cohort"
E11-04,E11-docs-trust,P2,Policy version history,"Effective date, previous version, section links and printable view","E11-02",legal-support,M,docs_shell_v2,"Privacy, terms and copyright version navigation works","route cohort"
E11-05,E11-docs-trust,P2,Contextual help links,"Map product surfaces to exact manual sections and diagnostics","E01-02;E11-02",legal-support,M,docs_shell_v2,"Help opens the relevant section and returns focus to the caller","route cohort"
E12-01,E12-quality-rollout,P0,108-route CI audit,"Desktop/mobile meaningful-content, H1, errors, overflow and redirects","E00-01;E01-06",qa,L,site_route_frame_v2,"All canonical routes pass and aliases have explicit contracts","CI only"
E12-02,E12-quality-rollout,P1,Accessibility regression suite,"Automated semantics plus keyboard, sheet, modal and live-region tests","E02-02;E09-04",qa,L,site_route_frame_v2,"No unnamed critical controls and core tasks complete by keyboard","CI and manual"
E12-03,E12-quality-rollout,P1,Visual state matrix,"Snapshots for shells, breakpoints, themes and all shared states","E02-03;E02-04;E09-01",qa,L,browse_shell_v2,"Approved deterministic snapshots include before/after rationale","CI only"
E12-04,E12-quality-rollout,P1,Performance budgets,"Bundle ownership, LCP, interaction readiness, list memory and cleanup","E02-03;E09-01",qa,L,site_route_registry_v2,"Public routes exclude Studio engines and dense pages stay within budget","CI and lab"
E12-05,E12-quality-rollout,P1,Feature-flag rollout observability,"Route-state metrics, recovery success and safe rollback receipts","E12-01;E12-02;E12-04",operations,M,site_route_registry_v2,"Each rollout records flag, SHA, evidence, limitation and rollback owner","progressive"
E12-06,E12-quality-rollout,P2,Full cross-browser acceptance,"Chrome, Safari, Firefox and representative desktop/mobile devices","E12-01;E12-02;E12-03",qa,L,site_route_registry_v2,"Release matrix complete with documented limitations","pre-release"
