route,label,canonical_path,shell,template,purpose,access,project_context,maturity,device,mobile_mode,priority,epic,owner_domain,primary_action,current_findings,desktop_text_chars,mobile_text_chars,unnamed_interactions,mobile_small_targets,target_outcome
/,메인으로 돌아가기,/,browse,editorial-landing,discover,public,none,stable,responsive,full,P2,E02-shells,catalog-discovery,새 작품 시작,no-critical-initial-render-finding,2204,1960,0,29,결과 선택→샘플·템플릿→자동 저장까지 한 흐름으로 시작하고 재방문자는 최근 작업을 우선 노출
/about,서비스 소개 기능과 운영 원칙,/about,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,unnamed-interactions:1,3177,2930,1,30,서비스 소개 기능과 운영 원칙을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/about/crawler,공개 데이터 수집 정책 자동수집 원칙·제외·중지 요청,/about/crawler,docs,document,trust,public,none,stable,responsive,full,P3,E11-docs-trust,legal-support,관련 절 찾기,no-critical-initial-render-finding,2535,2288,0,29,공개 데이터 수집 정책 자동수집 원칙·제외·중지 요청을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/about/data,데이터 출처 공급자별 연결·이용 준비 상태,/about/data,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,unnamed-interactions:2,8238,7991,2,31,데이터 출처 공급자별 연결·이용 준비 상태을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/about/technology,기술과 신뢰 웹·2D·3D·저장·협업 기술과 신뢰 원칙,/about/technology,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,visible-state:실패,3402,3155,0,29,기술과 신뢰 웹·2D·3D·저장·협업 기술과 신뢰 원칙을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/about/workflow,웹툰 제작 과정 기획부터 저장·연재까지 단계별 제작 흐름,/about/workflow,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,no-critical-initial-render-finding,3239,2972,0,29,웹툰 제작 과정 기획부터 저장·연재까지 단계별 제작 흐름을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/accessibility,접근성 안내 키보드·스크린리더·표시 지원,/accessibility,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,no-critical-initial-render-finding,1204,999,0,29,접근성 안내 키보드·스크린리더·표시 지원을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/authors,작가별 보기 작가와 대표 작품 탐색,/authors,browse,collection,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,목록 탐색,no-critical-initial-render-finding,9896,9649,0,31,작가별 보기 작가와 대표 작품 탐색에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/brush-lab,브러시 연구실 브러시를 만들고 시험하기,/studio/assets/brushes/new,creator,immersive-editor,create,public,optional,stable,desktop-first,full,P2,E09-creator-editor,creator-studio,브러시 만들기,"unnamed-interactions:2; visible-state:없습니다,오류; redirect:/studio/assets/brushes/new",15053,14929,2,10,"브러시 연구실 브러시를 만들고 시험하기을 CreatorShell, 문서 보존, 능력 검사, 안전 모드와 명시적 모바일 정책으로 제공"
/calendar,연재 캘린더 요일별 신작과 연재 일정,/calendar,browse,collection,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,목록 탐색,mobile-small-targets:40,3763,2166,0,40,연재 캘린더 요일별 신작과 연재 일정에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/collaborate,구인·의뢰 웹툰 팀원 모집·작업 의뢰·작업자 홍보,/collaborate,browse,editorial-landing,connect,public,none,stable,responsive,full,P2,E04-community-collaboration,community,공고 찾기,no-critical-initial-render-finding,1514,1309,0,29,구인·의뢰 웹툰 팀원 모집·작업 의뢰·작업자 홍보의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/collaborate/new,구인·의뢰 등록 팀원 모집·작업 의뢰·작업자 홍보 등록,/collaborate/new,browse,workflow,connect,sign-in,none,stable,responsive,full,P2,E04-community-collaboration,community,공고 초안 작성,no-critical-initial-render-finding,743,538,0,30,구인·의뢰 등록 팀원 모집·작업 의뢰·작업자 홍보 등록을 단계형 자동 저장 흐름으로 완주하고 예상 조건·오류 위치·재개를 제공
/community,커뮤니티 창작과 감상을 함께 나누기,/community,browse,editorial-landing,connect,public,none,stable,responsive,full,P1,E04-community-collaboration,community,피드 보기,unnamed-interactions:2; mobile-small-targets:45; visible-state:없습니다,2357,2067,2,45,팔로잉 피드·토론·장르 카페·작품 홍보를 명확히 구획하고 작성 행동을 우선
/community/cafes,장르 카페 관심 장르별 모임과 대화,/community/cafes,browse,collection,connect,public,none,stable,responsive,full,P1,E04-community-collaboration,community,목록 탐색,unnamed-interactions:1; mobile-small-targets:59,1930,1637,1,59,"장르 카페 정체성, 활동·회원·주제 메타데이터, 검색·추천·개설 흐름"
/community/promote,작품 홍보 작품과 창작 활동을 커뮤니티에 소개,/community/promote,browse,editorial-landing,connect,public,none,stable,responsive,full,P2,E04-community-collaboration,community,작품 홍보 보기,unnamed-interactions:1,1875,1670,1,32,작품 홍보 작품과 창작 활동을 커뮤니티에 소개의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/community/promote/new,홍보 글 작성 새 작품·연재·창작 활동 홍보 글 작성,/community/promote/new,browse,workflow,connect,sign-in,none,stable,responsive,full,P2,E04-community-collaboration,community,홍보 초안 작성,unnamed-interactions:1,1415,1210,1,31,홍보 글 작성 새 작품·연재·창작 활동 홍보 글 작성을 단계형 자동 저장 흐름으로 완주하고 예상 조건·오류 위치·재개를 제공
/compare,작품 비교 두 작품의 주요 지표 비교,/compare,browse,comparison,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,비교 대상 선택,no-critical-initial-render-finding,1624,1377,0,29,"작품 비교 두 작품의 주요 지표 비교에서 빈 슬롯 검색, 기준별 차이·근거·차이만 보기·공유 링크를 제공"
/contact,광고·제휴 광고와 파트너십 문의,/contact,docs,document,connect,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,unnamed-interactions:1; visible-state:오류,2330,2083,1,31,광고·제휴 광고와 파트너십 문의을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/copyright,저작권 안내 콘텐츠·권리 정책,/copyright,docs,document,trust,public,none,stable,responsive,full,P3,E11-docs-trust,legal-support,관련 절 찾기,no-critical-initial-render-finding,1254,1049,0,30,저작권 안내 콘텐츠·권리 정책을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/design,디자인 시스템 색상·타이포·컴포넌트 원칙,/design,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,mobile-small-targets:45; visible-state:오류,3406,3201,0,45,디자인 시스템 색상·타이포·컴포넌트 원칙을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/discover,찾기 검색·취향·추천에서 원하는 작품 발견,/discover,browse,editorial-landing,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,주요 경로 시작,no-critical-initial-render-finding,2160,1913,0,30,찾기 검색·취향·추천에서 원하는 작품 발견의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/discover/works,만화·작법서 탐색 만화와 창작 참고서를 함께 검색,/discover/works,browse,collection,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,목록 탐색,no-critical-initial-render-finding,2272,2025,0,29,만화·작법서 탐색 만화와 창작 참고서를 함께 검색에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/explore,취향 탐색 장르·태그·조건으로 작품 둘러보기,/explore,browse,search-results,discover,public,none,stable,responsive,full,P1,E03-discovery-data,catalog-discovery,조건으로 탐색,mobile-small-targets:118,1806,5945,0,118,기본 조건만 먼저 노출하고 고급 조건·적용 요약·결과 수를 점진 공개
/feedback,제보·제안 버그·아이디어·기능 요청,/feedback,docs,document,connect,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,제보·제안 작성,no-critical-initial-render-finding,1441,1018,0,39,중복 검색·투표·진행 상태가 있는 공개 버그·아이디어·기능 요청 보드
/fortune,사주·타로 운세 오늘의 운세·별자리·사주·궁합·타로·독서 처방,/fortune,browse,editorial-landing,discover,public,none,beta,responsive,full,P2,E03-discovery-data,catalog-discovery,주요 경로 시작,no-critical-initial-render-finding,2927,2704,0,35,사주·타로 운세 오늘의 운세·별자리·사주·궁합·타로·독서 처방의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/guide,랭킹 산정 방식 데이터와 산식 설명,/guide,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,unnamed-interactions:1,4276,4029,1,32,랭킹 산정 방식 데이터와 산식 설명을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/help,도움말,/help,docs,document,trust,public,none,stable,responsive,full,P2,E11-docs-trust,legal-support,관련 절 찾기,unnamed-interactions:1,2354,2110,1,31,도움말을 쉬운 말 요약·목차·갱신일·딥 링크·관련 행동이 있는 읽기 중심 문서로 재구성
/insights,트렌드 장르·플랫폼 흐름을 데이터로,/insights,browse,dashboard,discover,public,none,beta,responsive,full,P2,E03-discovery-data,catalog-discovery,다음 작업 열기,visible-state:오류,3886,3639,0,29,트렌드 장르·플랫폼 흐름을 데이터로에서 오늘 할 일·주의 상태·다음 행동을 먼저 보여주고 빈 상태에 샘플을 제공
/insights/resources,공식 자료·API 안내 데이터 출처와 연동 방법 확인,/insights/resources,browse,dashboard,discover,public,none,stable,responsive,full,P2,E03-discovery-data,catalog-discovery,다음 작업 열기,unnamed-interactions:2,8262,8015,2,31,공식 자료·API 안내 데이터 출처와 연동 방법 확인에서 오늘 할 일·주의 상태·다음 행동을 먼저 보여주고 빈 상태에 샘플을 제공
/learn,웹툰 제작 강좌 기초부터 Studio 실습까지,/learn,browse,editorial-landing,learn,public,none,stable,responsive,full,P1,E05-learning-research,creator-resources,학습 이어가기,unnamed-interactions:1; mobile-small-targets:48,6180,5930,1,48,"스킬 경로, 계속 학습, 예상 시간, 산출물, Studio 실습 연결을 우선"
/learn/glossary,웹툰 용어 사전 제작 용어와 예시 빠르게 찾기,/learn/glossary,browse,editorial-landing,learn,public,none,stable,responsive,full,P1,E05-learning-research,creator-resources,주요 경로 시작,unnamed-interactions:1; mobile-small-targets:69,5566,5322,1,69,검색·분류·이미지 예시·관련 강좌와 Studio 기능 연결
/learn/recipes,제작 레시피 연출을 직접 조작하며 학습,/learn/recipes,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,unnamed-interactions:6; visible-state:없습니다,2801,2557,6,34,제작 레시피 연출을 직접 조작하며 학습의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/learn/records,학습 기록 관리 진행 기록을 백업하고 복원,/learn/records,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,주요 경로 시작,unnamed-interactions:2; visible-state:실패,1860,1666,2,30,학습 기록 관리 진행 기록을 백업하고 복원의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/learn/studio,Studio 실습 과정 배운 내용을 작업공간에서 따라 하기,/learn/studio,browse,editorial-landing,learn,public,none,stable,responsive,full,P2,E05-learning-research,creator-resources,실습 열기,unnamed-interactions:1,2411,2167,1,35,Studio 실습 과정 배운 내용을 작업공간에서 따라 하기의 결과를 한 문장과 하나의 주 행동으로 이해하고 실제 기능·다음 경로로 진입
/library,내 서재 저장한 작품과 취향을 한곳에서,/library,browse,collection,manage,sign-in,none,stable,responsive,full,P2,E07-personal-settings,account-personal,목록 탐색,no-critical-initial-render-finding,1565,1360,0,39,내 서재 저장한 작품과 취향을 한곳에서에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/market/browse,에셋 상세 탐색 종류·사용권으로 리소스 찾기,/market/browse,browse,collection,create,public,none,stable,responsive,full,P0,E00-route-stability,market,에셋 찾기,blank-or-no-content; desktop-h1-missing; mobile-h1-missing,0,0,0,0,데이터 실패에도 카테고리·검색·캐시·재시도·상태 안내가 남는 에셋 탐색
/market/compare,에셋 비교 후보 리소스의 차이 비교,/market/compare,browse,comparison,create,public,optional,stable,responsive,full,P2,E06-market,market,에셋 비교,no-critical-initial-render-finding,1934,1683,0,29,"에셋 비교 후보 리소스의 차이 비교에서 빈 슬롯 검색, 기준별 차이·근거·차이만 보기·공유 링크를 제공"
/market/fit,에셋 핏 랩 현재 작업에 맞는 에셋 점검,/market/fit,browse,comparison,create,public,optional,beta,responsive,full,P1,E06-market,market,프로젝트 적합성 검사,unnamed-interactions:1; mobile-small-targets:90,2603,6076,1,90,프로젝트 선택→호환성·권리·성능 근거→자동 수정·대체 에셋 흐름
/market/library,내 에셋 획득한 리소스 관리,/market/library,browse,collection,manage,sign-in,none,stable,responsive,full,P2,E06-market,market,설치한 에셋 관리,no-critical-initial-render-finding,872,671,0,29,내 에셋 획득한 리소스 관리에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/market/manage,판매·배포 관리 등록한 에셋과 배포 상태 관리,/market/manage,browse,collection,manage,sign-in,none,stable,responsive,full,P2,E06-market,market,목록 탐색,no-critical-initial-render-finding,856,655,0,29,판매·배포 관리 등록한 에셋과 배포 상태 관리에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/market/publish,에셋 등록 마켓에 리소스 제출·배포,/market/publish,browse,workflow,create,sign-in,none,stable,responsive,full,P2,E06-market,market,에셋 등록 시작,"unnamed-interactions:5; mobile-small-targets:40; visible-state:실패,오류",1991,1790,5,40,에셋 등록 마켓에 리소스 제출·배포을 단계형 자동 저장 흐름으로 완주하고 예상 조건·오류 위치·재개를 제공
/market/wishlist,찜한 에셋 나중에 사용할 리소스,/market/wishlist,browse,collection,manage,sign-in,none,stable,responsive,full,P2,E06-market,market,목록 탐색,no-critical-initial-render-finding,823,622,0,29,찜한 에셋 나중에 사용할 리소스에 검색·필터·정렬·페이지/가상화·명확한 empty/error/갱신 상태를 제공
/me,프로필·계정,/me,browse,dashboard,manage,sign-in,none,stable,responsive,full,P2,E07-personal-settings,account-personal,다음 작업 열기,no-critical-initial-render-finding,657,452,0,29,프로필·계정에서 오늘 할 일·주의 상태·다음 행동을 먼저 보여주고 빈 상태에 샘플을 제공
